2025/11/25 17:42:59:567056,Front,KeyLog,KeyboardUI/Update,"{""c"":""G"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":10.0}"
2025/11/25 17:42:59:567056,Front,KeyLog,KeyboardUI/Update,"{""c"":""H"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":10.0}"
2025/11/25 17:42:59:567056,Front,KeyLog,KeyboardUI/Update,"{""c"":""J"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":10.0}"
2025/11/25 17:42:59:567056,Front,KeyLog,KeyboardUI/Update,"{""c"":""K"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":10.0}"
2025/11/25 17:42:59:567056,Front,KeyLog,KeyboardUI/Update,"{""c"":""L"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":10.0}"
2025/11/25 17:42:59:567056,Front,KeyLog,KeyboardUI/Update,"{""c"":""Z"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":10.0}"
2025/11/25 17:42:59:567056,Front,KeyLog,KeyboardUI/Update,"{""c"":""X"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":10.0}"
2025/11/25 17:42:59:568091,Front,KeyLog,KeyboardUI/Update,"{""c"":""C"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":10.0}"
2025/11/25 17:42:59:568091,Front,KeyLog,KeyboardUI/Update,"{""c"":""V"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":10.0}"
2025/11/25 17:42:59:568091,Front,KeyLog,KeyboardUI/Update,"{""c"":""B"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":10.0}"
2025/11/25 17:42:59:568091,Front,KeyLog,KeyboardUI/Update,"{""c"":""N"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":10.0}"
2025/11/25 17:42:59:568091,Front,KeyLog,KeyboardUI/Update,"{""c"":""M"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":10.0}"
2025/11/25 17:42:59:568091,Front,KeyLog,KeyboardUI/Update,"{""c"":""#"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":13.800000190734864}"
2025/11/25 17:42:59:568091,Front,KeyLog,KeyboardUI/Update,"{""c"":""&"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":13.800000190734864}"
2025/11/25 17:42:59:568091,Front,KeyLog,KeyboardUI/Update,"{""c"":""%"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":13.800000190734864}"
2025/11/25 17:42:59:568091,Front,FingerHoverLog,KeyboardUI/CalcHoverKey,"{""positions"":[{""x"":308.88165283203127,""y"":330.0365905761719},{""x"":282.3966369628906,""y"":339.25244140625},{""x"":239.77890014648438,""y"":340.9531555175781},{""x"":197.42025756835938,""y"":329.72833251953127}],""chars"":["" "","" "","" "","" ""]}"
2025/11/25 17:42:59:582954,Front,KeyLog,KeyboardUI/Update,"{""c"":""Q"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":10.0}"
2025/11/25 17:42:59:582954,Front,KeyLog,KeyboardUI/Update,"{""c"":""W"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":10.0}"
2025/11/25 17:42:59:583969,Front,KeyLog,KeyboardUI/Update,"{""c"":""E"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":10.0}"
2025/11/25 17:42:59:583969,Front,KeyLog,KeyboardUI/Update,"{""c"":""R"",""position"":{""x"":0.0,""y"":0.0},""angle"":3.1415927410125734,""size_dots"":{""x"":0.0,""y"":0.0},""size_mm"":10.0}"
